sepal length;sepal width;petal length;petal width;class;tamanho flor
5.1;3.5;1.4;0.2;Iris-setosa;6.5
4.9;3.0;1.4;0.2;Iris-setosa;6.300000000000001
4.7;3.2;1.3;0.2;Iris-setosa;6.0
4.6;3.1;1.5;0.2;Iris-setosa;6.1
5.0;3.6;1.4;0.2;Iris-setosa;6.4
5.4;3.9;1.7;0.4;Iris-setosa;7.1000000000000005
4.6;3.4;1.4;0.3;Iris-setosa;6.0
5.0;3.4;1.5;0.2;Iris-setosa;6.5
4.4;2.9;1.4;0.2;Iris-setosa;5.800000000000001
4.9;3.1;1.5;0.1;Iris-setosa;6.4
5.4;3.7;1.5;0.2;Iris-setosa;6.9
4.8;3.4;1.6;0.2;Iris-setosa;6.4
4.8;3.0;1.4;0.1;Iris-setosa;6.199999999999999
4.3;3.0;1.1;0.1;Iris-setosa;5.4
5.8;4.0;1.2;0.2;Iris-setosa;7.0
5.7;4.4;1.5;0.4;Iris-setosa;7.2
5.4;3.9;1.3;0.4;Iris-setosa;6.7
5.1;3.5;1.4;0.3;Iris-setosa;6.5
5.7;3.8;1.7;0.3;Iris-setosa;7.4
5.1;3.8;1.5;0.3;Iris-setosa;6.6
5.4;3.4;1.7;0.2;Iris-setosa;7.1000000000000005
5.1;3.7;1.5;0.4;Iris-setosa;6.6
4.6;3.6;1.0;0.2;Iris-setosa;5.6
5.1;3.3;1.7;0.5;Iris-setosa;6.8
4.8;3.4;1.9;0.2;Iris-setosa;6.699999999999999
5.0;3.0;1.6;0.2;Iris-setosa;6.6
5.0;3.4;1.6;0.4;Iris-setosa;6.6
5.2;3.5;1.5;0.2;Iris-setosa;6.7
5.2;3.4;1.4;0.2;Iris-setosa;6.6
4.7;3.2;1.6;0.2;Iris-setosa;6.300000000000001
4.8;3.1;1.6;0.2;Iris-setosa;6.4
5.4;3.4;1.5;0.4;Iris-setosa;6.9
5.2;4.1;1.5;0.1;Iris-setosa;6.7
5.5;4.2;1.4;0.2;Iris-setosa;6.9
4.9;3.1;1.5;0.1;Iris-setosa;6.4
5.0;3.2;1.2;0.2;Iris-setosa;6.2
5.5;3.5;1.3;0.2;Iris-setosa;6.8
4.9;3.1;1.5;0.1;Iris-setosa;6.4
4.4;3.0;1.3;0.2;Iris-setosa;5.7
5.1;3.4;1.5;0.2;Iris-setosa;6.6
5.0;3.5;1.3;0.3;Iris-setosa;6.3
4.5;2.3;1.3;0.3;Iris-setosa;5.8
4.4;3.2;1.3;0.2;Iris-setosa;5.7
5.0;3.5;1.6;0.6;Iris-setosa;6.6
5.1;3.8;1.9;0.4;Iris-setosa;7.0
4.8;3.0;1.4;0.3;Iris-setosa;6.199999999999999
5.1;3.8;1.6;0.2;Iris-setosa;6.699999999999999
4.6;3.2;1.4;0.2;Iris-setosa;6.0
5.3;3.7;1.5;0.2;Iris-setosa;6.8
5.0;3.3;1.4;0.2;Iris-setosa;6.4
7.0;3.2;4.7;1.4;Iris-versicolor;11.7
6.4;3.2;4.5;1.5;Iris-versicolor;10.9
6.9;3.1;4.9;1.5;Iris-versicolor;11.8
5.5;2.3;4.0;1.3;Iris-versicolor;9.5
6.5;2.8;4.6;1.5;Iris-versicolor;11.1
5.7;2.8;4.5;1.3;Iris-versicolor;10.2
6.3;3.3;4.7;1.6;Iris-versicolor;11.0
4.9;2.4;3.3;1.0;Iris-versicolor;8.2
6.6;2.9;4.6;1.3;Iris-versicolor;11.2
5.2;2.7;3.9;1.4;Iris-versicolor;9.1
5.0;2.0;3.5;1.0;Iris-versicolor;8.5
5.9;3.0;4.2;1.5;Iris-versicolor;10.100000000000001
6.0;2.2;4.0;1.0;Iris-versicolor;10.0
6.1;2.9;4.7;1.4;Iris-versicolor;10.8
5.6;2.9;3.6;1.3;Iris-versicolor;9.2
6.7;3.1;4.4;1.4;Iris-versicolor;11.100000000000001
5.6;3.0;4.5;1.5;Iris-versicolor;10.1
5.8;2.7;4.1;1.0;Iris-versicolor;9.899999999999999
6.2;2.2;4.5;1.5;Iris-versicolor;10.7
5.6;2.5;3.9;1.1;Iris-versicolor;9.5
5.9;3.2;4.8;1.8;Iris-versicolor;10.7
6.1;2.8;4.0;1.3;Iris-versicolor;10.1
6.3;2.5;4.9;1.5;Iris-versicolor;11.2
6.1;2.8;4.7;1.2;Iris-versicolor;10.8
6.4;2.9;4.3;1.3;Iris-versicolor;10.7
6.6;3.0;4.4;1.4;Iris-versicolor;11.0
6.8;2.8;4.8;1.4;Iris-versicolor;11.6
6.7;3.0;5.0;1.7;Iris-versicolor;11.7
6.0;2.9;4.5;1.5;Iris-versicolor;10.5
5.7;2.6;3.5;1.0;Iris-versicolor;9.2
5.5;2.4;3.8;1.1;Iris-versicolor;9.3
5.5;2.4;3.7;1.0;Iris-versicolor;9.2
5.8;2.7;3.9;1.2;Iris-versicolor;9.7
6.0;2.7;5.1;1.6;Iris-versicolor;11.1
5.4;3.0;4.5;1.5;Iris-versicolor;9.9
6.0;3.4;4.5;1.6;Iris-versicolor;10.5
6.7;3.1;4.7;1.5;Iris-versicolor;11.4
6.3;2.3;4.4;1.3;Iris-versicolor;10.7
5.6;3.0;4.1;1.3;Iris-versicolor;9.7
5.5;2.5;4.0;1.3;Iris-versicolor;9.5
5.5;2.6;4.4;1.2;Iris-versicolor;9.9
6.1;3.0;4.6;1.4;Iris-versicolor;10.7
5.8;2.6;4.0;1.2;Iris-versicolor;9.8
5.0;2.3;3.3;1.0;Iris-versicolor;8.3
5.6;2.7;4.2;1.3;Iris-versicolor;9.8
5.7;3.0;4.2;1.2;Iris-versicolor;9.9
5.7;2.9;4.2;1.3;Iris-versicolor;9.9
